Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11870085,The Fault in Our Stars,John Green,"Green, John",,,,4,4.15,Dutton Books,Hardcover,313,2012,2012,11/10/2017,22/05/2017,,,read,"Warning! This contains spoilers, read AFTER you read the book.<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>“The Fault in Our Stars” (TFIOS) was first published on the 10th of January in 2012. Since then it has won many awards such as The Goodreads Choice Award for Best Young Adult Fiction in 2012. It has 317 pages and is not in a series. For me this makes it all the better. A good author has to know when their story ends. This novel is set in Indiana in America and Amsterdam in Holland. <br/>TFIOS is a romance fiction novel. It focusses on two main characters, Hazel Grace Lancaster and Augustus, or Gus, Waters with appearances of Isaac, Gus’ close friend and of course the famous Peter Van Houten. All of these characters play important roles in the plot. The other characters are fillers in my opinion. <br/>I’ve read some good and bad reviews of this book. Some say it’s the romance is cheesy and the plot is predictable. But I’ve also read the ones written by fans. I personally liked this book. One of my favourite sayings is “Different people like different things.” I’ve been using this to settle disagreements for as long as I can remember. I believe the world would be boring with the same opinions. One of my favourite genre of books is romance especially when paired with fantasy. It doesn’t matter how unrealistic it is to go to a stranger’s house after making eye contact across a room and seeing each other for the first ever time. The love story is there and that’s enough for me. I usually don’t like sad stories, or anything sad, so I’d avoid books like this. I didn’t read it straight away. Because of my dislike of anything and everything sad I wasn’t interested in reading it at all until the movie came out in 2014. As a good bibliophile I refused to see the movie before reading the book. I wanted to watch the movie so much I read the book. It was heart breaking but somehow worth it. I thought “Marley and Me” would be the last. I would have read it one way or another if a movie didn’t exist. It has such high views I would have for curiosity. “The Fault in Our Stars” is as close to a perfect tragedy as it is to rain two days together in Ireland. <br/>Love and tragedy are commonly put together. In a tragedy you have the build up to the high point when the protagonists of the story are falling in love. The climax would be when they fall in love. And then the drop, everything goes down. Romeo is banished and when Hazel’s lifespan is catching up to her. Cancer for Hazel and Gus is the antagonist in this story. It’s a race for them to do as much as possible with each other before their time is up. I think this sets their relationship quite fast paced and passionate. Hazel is driven to go to Amsterdam and visit the author of her favourite book, Peter Van Houten. <br/>Van Houten plays a crucial part in this novel. He’s in a bad spot when Gus and Hazel arrive at his house. From the moment he answered the door he was a let-down. He slammed it in their facs and left them waiting on his doorstep. Then he proceeded to tell his assistant that they were “adolescent apparitions” at his door. Maybe he knew this but Gus and Hazel could hear his conversation through the door. After his assistant Lidewiji convinced him that they were planned to come they were let in and offered a seat and a cocktail. He drinks scotch and water while Hazel queries him about the novel. He doesn’t have an answer and is consistently rude. Hazel can’t stand it so she leaves with Gus following close behind. Gus teaches Van Houten about life and what it is to live. How much he loves it however short lived. He tells him to get his act together for Hazel’s sake. This happens in the ending. He pulls himself together enough to attend Gus’ funeral and pass on Gus’ to Hazel. They mourn together. <br/>Everything together in the novel shows you so much. It has the old tragedy with a modern twist of cancer and the romance. There is no better ending to this book them is what is on the final page. Despite the sadness I gained a lot from this read. Although many of the things it outlines in life are obvious it does not mean they don’t need to be heard. It reminds us of them and shows us an ending of a tale of people who lived by these obvious quotes.",TRUE,,1,1
34499221,To Kill a Kingdom,Alexandra Christo,"Christo, Alexandra",,1250112680,9781250112682,4,3.78,Feiwel & Friends,Hardcover,344,2018,2018,,04/11/2018,,,read,,,,1,0
52735921,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,0316428469,9780316428460,4,3.94,JIMMY Patterson Books,Hardcover,372,2020,2020,,14/01/2021,,,read,,,,2,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,0765387565,9780765387561,0,4.21,Tor Books,Hardcover,444,2020,2020,,14/01/2021,to-read,to-read (#203),to-read,,,,0,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,0553381695,9780553381696,4,4.41,Bantam,Paperback,969,2002,1998,,01/01/2021,,,read,,,,1,0
41014903,"Warcross (Warcross, #1)",Marie Lu,"Lu, Marie",,,,4,4.15,G.P. Putnam's Sons Books for Young Readers,Kindle Edition,366,2017,2017,,21/12/2020,,,read,,,,2,0
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,1565125606,9781565125605,0,4.1,Algonquin Books,Paperback,368,2007,2006,,15/12/2020,to-read,to-read (#202),to-read,,,,0,0
45906983,"Purple Hyacinth, Season 1 (Purple Hyacinth #1)",NOT A BOOK,"BOOK, NOT A",,,,0,4.65,Line Webtoon,,400,2019,,,13/12/2020,to-read,to-read (#201),to-read,,,,0,0
35018224,I Love Yoo,NOT A BOOK,"BOOK, NOT A",,,,0,4.28,Line Webtoon,Webcomic,,,,,13/12/2020,to-read,to-read (#200),to-read,,,,0,0
12930909,"Between the Devil and the Deep Blue Sea (Between, #1)",April Genevieve Tucholke,"Tucholke, April Genevieve",,0803738897,9780803738898,0,3.56,Dial,Hardcover,360,2013,2013,,10/12/2020,to-read,to-read (#199),to-read,,,,0,0
