Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
13103,"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,"Redfield, James",,,,0,3.69,Warner Books,Paperback,247,1995,1993,,19/02/2019,to-read,to-read (#139),to-read,,,,0,0,,Fiction|902;Spirituality|649;Spiritual|455;Philosophy|270;Non Fiction|211;Self Help|196;New Age|104;Fantasy|102;Religion|94;Adventure|67;Inspirational|67;Nonfiction|63;Novels|59;Owned Books|55;My Library|49;Series|43;Abandoned|42;Personal Development|42;Novel|40;Psychology|37,109040
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,0061122416,9780061122415,0,3.9,HarperCollins,Paperback,197,1993,1988,,19/02/2019,to-read,to-read (#138),to-read,,,,0,0,,Fiction|18458;Classics|9873;Fantasy|4596;Philosophy|3636;Book Club|1918;Novels|1896;Spirituality|1730;Self Help|1509;Classic|1435;Novel|1259;Literature|1240;Adventure|1176;Spiritual|1154;Paulo Coelho|1133;Inspirational|1013;Audiobooks|996;Owned Books|923;Magical Realism|791;My Library|740;Contemporary|710,2754725
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,192076920X,9781920769208,0,4.27,Scribe,Paperback,936,2004,2003,,19/02/2019,to-read,to-read (#137),to-read,,,,0,0,,Fiction|2705;India|837;Travel|451;Adventure|306;Abandoned|291;Contemporary|231;Novels|224;Non Fiction|222;Historical Fiction|214;Biography|214;Book Club|204;Asia|158;Crime|152;Memoir|152;Wishlist|141;Unfinished|129;Audiobooks|122;Novel|118;Audible|114;Literature|106,200356
35247769,"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,"Han, Jenny",,1481430483,9781481430487,4,4.03,Simon  Schuster Books for Young Readers,Hardcover,325,2017,2017,,19/02/2019,,,read,,,,1,0,"2019-02-18,2019-02-19",Romance|3690;Young Adult|3330;Contemporary|2253;Ya|1804;Fiction|783;Series|654;Read In 2018|462;Physical Tbr|432;Audiobooks|416;Read In 2017|380;Owned Books|354;Ya Contemporary|315;Read In 2019|281;Chick Lit|251;My Books|240;2018 Reads|235;Realistic Fiction|233;Read In 2020|225;Ya Romance|223;Read 2018|212,226239
20698530,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,"Han, Jenny",,144242673X,9781442426733,4,4.04,Simon & Schuster Books for Young Readers,Hardcover,337,2015,2015,,19/02/2019,,,read,,,,1,0,"2019-02-17,2019-02-18",Romance|4953;Young Adult|4512;Contemporary|3050;Ya|2411;Fiction|1036;Series|886;Audiobooks|581;Read In 2018|527;Owned Books|466;Physical Tbr|448;Ya Contemporary|413;Chick Lit|390;Read In 2015|382;Realistic Fiction|343;Read In 2019|329;My Books|305;Ya Romance|294;High School|281;Bookshelf|245;Read 2018|244,338126
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,"Han, Jenny",,,,4,4.06,Simon & Schuster Books for Young Readers,Hardcover,355,2014,2014,,22/05/2017,,,read,,,,1,0,"2019-02-16,2019-02-17",Romance|8003;Young Adult|7212;Contemporary|4624;Ya|4001;Fiction|1897;Series|1286;Audiobooks|876;Read In 2018|764;Chick Lit|662;Realistic Fiction|637;Physical Tbr|625;Owned Books|609;Ya Contemporary|563;Ya Romance|466;My Books|449;Read In 2015|443;Wishlist|425;High School|416;Read In 2019|399;Contemporary Romance|389,788907
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,,,4,4.61,Orion Children's Books,Kindle Edition,561,2016,2016,,14/02/2019,,,read,,,,1,0,"2019-02-10,2019-02-14",Fantasy|19590;Young Adult|6417;Ya|3816;Physical Tbr|3204;Fiction|1795;Series|1497;Ya Fantasy|1429;Romance|1382;5 Stars|1361;Lgbtq|1358;Lgbt|1158;Owned Books|1054;Favs|985;Grishaverse|957;Magic|855;All Time Favorites|778;Adventure|772;2021 Reads|757;High Fantasy|741;Read In 2021|738,518666
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,,,4,4.49,Henry Holt & Company,Hardcover,465,2015,2015,,31/10/2018,,,read,,,,1,0,"2019-02-07,2019-02-10",Fantasy|30104;Young Adult|9816;Ya|5967;Physical Tbr|4294;Fiction|3260;Series|2585;Ya Fantasy|2029;Romance|1877;5 Stars|1587;Lgbtq|1462;Favs|1430;Adventure|1395;Owned Books|1391;Magic|1333;Lgbt|1221;All Time Favorites|1160;High Fantasy|1029;Wishlist|1016;Grishaverse|987;Read In 2021|968,770017
40121993,The Collected Schizophrenias: Essays,Esm̩ Weijun Wang,"Wang, Esm̩ Weijun",,1555978274,9781555978273,0,4.14,Graywolf Press,Paperback,208,2019,2019,,06/02/2019,to-read,to-read (#136),to-read,,,,0,0,,Non Fiction|1071;Nonfiction|754;Essays|713;Memoir|541;Psychology|418;Mental Health|392;Mental Illness|145;Memoirs|121;Disability|78;Wishlist|73;Health|62;Science|61;Biography|59;Psych|54;Read In 2019|51;Medicine|47;Biography Memoir|46;Memoir Biography|43;2019 Releases|41;Essay|39,16032
29774026,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,"Shannon, Samantha",,,,0,4.23,Bloomsbury Publishing,ebook,848,2019,2019,,06/02/2019,to-read,to-read (#135),to-read,,,,0,0,,Fantasy|12716;Physical Tbr|3628;Lgbtq|1649;Fiction|1533;Lgbt|1409;Queer|998;Adult|920;Sapphic|883;Dragons|758;Wishlist|727;Romance|716;High Fantasy|652;Owned Tbr|608;Lgbtqia|603;Wlw|523;Owned Books|465;2023 Tbr|407;Magic|403;2019 Releases|364;Adult Fantasy|345,133745
